Volume_(BTC),Volume_(Currency),Weighted_Price
1.1079,254.69845469,229.89299999
0.0,0.0,229.28158542
1.7474,401.709786,229.89
0.0156,3.652116,234.11
1.3803,325.916436,236.12
2.0346,485.90273301,238.81978424
75.393,19004.393955,252.07106701
0.5013,123.179436,245.72
0.2504,62.674299,250.29672125
0.05948675,14.360957955,241.41439826
0.0,0.0,245.28650022
12.2916,3015.114438,245.29877624
0.4114,100.797114,245.01
0.0,0.0,243.76
0.2173,52.560524,241.88
0.319,77.165984,241.89963636
4.1122,1001.7374954,243.60135581
0.1214,30.303191776,249.61442979
10.0219008,2510.4583957,250.4972306
7.06812256,1883.4284835,266.46800016
0.0,0.0,261.40750865
0.708295,183.39133471,258.91942582
12.5689,3195.768714,254.26001591
0.724,185.02544,255.56
0.1008,26.348112,261.39
0.3676,99.200536,269.86
0.9208,246.045468,267.20837098
4.4104,1180.089824,267.56979503
0.7344,198.060336,269.69
3.0344,822.34083647,271.00607582
1.44833532,420.92775085,290.62865832
24.4997,7321.8851261,298.85611359
2.5483,783.23501121,307.35588872
1.8379,528.58085807,287.60044511
0.0527,15.313039,290.57
0.0,0.0,286.32152999
6.9522,1914.079704,275.32
22.38890009,6251.2121727,279.21032957
0.0,0.0,277.46
0.0159,4.41066,277.4
0.0,0.0,279.48685998
0.3975,109.70205,275.98
0.0,0.0,277.62388944
0.0,0.0,277.71824519
0.0,0.0,288.3
4.918,1421.40036,289.02
6.79052,1982.8997452,292.01
0.13670336,40.625912491,297.18298432
25.0,7285.886829,291.43547316
0.0558,16.243938,291.11
0.9813,279.387892,284.71200652
0.0,0.0,281.1
0.0,0.0,278.60509413
1.0195,288.19226,282.68
17.39328,4924.4195802,283.12196321
0.0,0.0,283.66
0.0,0.0,280.28
0.0,0.0,277.68137025
0.012,3.33732,278.11
0.2347,61.903714,263.75677035
5.0067,1333.165249,266.27623964
0.097,25.92034,267.22
6.40775078,1721.6560136,268.68336062
0.11,29.117,264.7
1.48,391.3252,264.40891892
3.7083,989.839335,266.92536607
0.6316,165.251824,261.64
13.17713869,3426.4618369,260.03079405
0.3904,99.631484,255.20359631
3.82440674,896.79234943,234.49188603
1.2077,283.169419,234.47
0.0889,20.877687,234.84462317
0.2977,69.442656,233.26387639
0.4704,108.80462,231.30233844
1.4428,321.628976,222.92
1.3996,294.054135,210.09869606
0.0,0.0,224.02101487
1.744,392.59184,225.11
0.9223,208.450541,226.01164589
2.4368,567.286677,232.79985103
1.4384,331.935275,230.76701543
0.0454,10.35347,228.05
0.4515,103.724365,229.73281285
3.8095,869.21969,228.1715947
2.2769,518.381823,227.67
4.6453,1067.978294,229.90512862
0.2724,62.867196,230.79
1.7616,425.25024,241.4
4.1113,989.777307,240.74558096
1.4931,363.88953906,243.71411095
0.3179,76.644655,241.09674426
4.0052,949.307277,237.01869495
0.0171,4.109472,240.32
0.3424,82.182848,240.02
0.0,0.0,235.94
2.0018,458.31211,228.95
0.4519,104.732221,231.75972782
1.0006,231.214521,231.07587547
0.2286,52.556809,229.90730096
0.0,0.0,233.42664097
0.0,0.0,233.21
1.0009,233.2097,233.0
0.2468,56.285208,228.06
30.1828,6854.10574,227.08647773
0.9412,218.339576,231.98
0.0,0.0,232.69
0.9732,229.665468,235.99
0.0,0.0,234.95230851
1.0046,235.95561577,234.8751899
0.8173,194.059712,237.44
0.121,29.13559,240.79
0.037,8.80933,238.09
0.0,0.0,237.47857143
0.05,11.9455,238.91
0.1112,26.55456,238.8
4.1821,1004.373136,240.16
0.1712,40.95104,239.2
35.8179,8641.8878458,241.27287881
0.3046,75.20574,246.9
1.4871,364.280516,244.96033622
0.4078,99.34008,243.6
19.1708,4696.997806,245.00791861
0.8519,209.345906,245.74
1.1774,292.077618,248.07
5.2504,1296.216652,246.87960003
11.1135,2792.366341,251.25895002
0.0,0.0,254.55
4.1526,1064.7641911,256.40904278
0.1207,32.416399,268.57
0.0213,5.761863,270.51
2.4895,657.03384,263.92200844
0.0,0.0,266.74613538
1.9762,532.249946,269.33
0.669,181.382339,271.1245725
2.9571144,825.14354318,279.03673364
0.1059,29.681652,280.28
5.68138335,1659.9297734,292.17
1.3898,395.474566,284.55501943
3.4094,990.558326,290.53743357
0.3516,105.912668,301.23056883
1.3725,421.286662,306.94838761
2.57526659,861.26809103,334.43842062
0.0,0.0,329.41
0.0102,3.227586,316.43
0.0,0.0,327.79722073
31.6281,11860.421538,374.99633358
7.57592826,3333.2126871,439.97416194
30.2056358,11929.717358,394.95004963
0.4103,154.201421,375.82603217
4.10369331,1562.5033576,380.75539267
11.368899,4319.626631,379.95118358
0.0818,30.183664,368.99344743
0.31098752,118.62343938,381.4411568
32.09917961,10066.9058,313.61878784
18.19849096,6054.5838417,332.69702719
34.64857607,11570.966362,333.95214679
0.0,0.0,335.06
0.325,108.93655,335.18938462
0.1172,37.828492,322.76870307
0.0,0.0,335.36
0.056,18.60824,332.29
15.0004,5016.893563,334.45065218
0.622,198.107,318.5
0.0618,20.197476,326.82
0.2739,89.3049161,326.04934684
1.0004,322.138804,322.01
0.0466,15.021222,322.34381974
0.0273,8.707608,318.96
0.054,18.19628,336.96814815
1.3029,457.074956,350.81353596
1.2283,438.552232,357.04
0.3555,126.70731,356.42
2.3549,893.977549,379.62442099
0.83474676,315.53789236,378.00433315
6.652,2360.200154,354.81060643
14.9438,5447.5903376,364.5384934
0.2527,91.063053,360.36032054
9.1813,3406.6304498,371.04009779
11.83694099,4607.7746522,389.27072933
0.3208,125.427092,390.98220698
0.0511,20.079745,392.95
1.08603612,453.5259381,417.5974719
0.1234,51.034457196,413.56934519
2.2681,954.965225,421.04194039
1.208514,516.1045166,427.05712685
0.0,0.0,433.4
1.3143,577.103278,439.09554744
15.2327,7000.336458,459.55979295
5.29944501,2406.000187,454.00984112
1.4702,666.898355,453.61063461
9.08,4206.6732,463.29
0.2106,97.7078,463.94966762
0.0,0.0,459.16921418
0.0,0.0,434.51
0.0,0.0,440.43
0.2761,120.553543,436.63
8.7099,3972.020539,456.03514839
0.6873,314.75971,457.96553179
0.62794,278.17691,442.99918782
0.3752,158.927216,423.58
0.0,0.0,429.9
3.4172,1445.54479,423.02024757
0.42,182.049,433.45
0.1316,55.756288,423.68
0.55144407,239.48862213,434.29358508
0.0,0.0,434.27437733
1.0068,435.904128,432.96
0.0343,14.896833,434.31
0.1767,76.652893,433.80245048
0.0193,8.331038,431.66
15.4521,6974.9514604,451.39181473
2.4733,1122.988998,454.04479764
10.2042,4616.38008,452.4
0.2516,112.725332,448.03391097
2.565,1145.939915,446.76020078
0.0,0.0,447.60272323
2.2609,979.631303,433.29262816
0.4548,196.059732,431.09
47.95292,19425.662027,405.09862647
85.12031223,30352.188815,356.57985762
10.3275,3925.697885,380.12083128
4.00617854,1493.4684099,372.79127603
0.6518,249.398538,382.6304664
1.97527,748.8585124,379.11703838
0.39808,164.6936576,413.72
0.0,0.0,396.52997037
7.76976,3038.1153699,391.01791688
0.0,0.0,388.9735865
0.0,0.0,399.95783174
0.32776,128.854016,393.13526971
1.05711,418.667105,396.0487603
1.36604,523.6369132,383.32472929
1.44982,545.9007246,376.53
13.50154,5130.8916504,380.02269744
0.84601,323.0386465,381.8378583
1.16813,439.0556387,375.86196631
0.2783,103.970267,373.59061085
0.24802,92.506755,372.98102976
0.87127,323.604163,371.41662516
0.29848,114.769684,384.51381667
0.2301,86.1018288,374.19308475
0.0,0.0,376.11
0.23552,89.297408,379.15
0.0,0.0,370.40243955
0.01718,6.4410155,374.91359139
0.37653,141.5587323,375.95605211
0.0,0.0,379.42909754
2.76531,1075.9408686,389.08508218
0.10489,41.7506112,398.04186481
1.8766,762.9137663,406.54042753
0.0,0.0,400.54869118
0.38497,158.6004519,411.98132816
0.17278,72.4435774,419.28219354
0.81379,340.0083339,417.80844432
0.64848,276.2265408,425.96
0.35838,160.1779514,446.95002902
0.0,0.0,434.56996712
0.11679,50.7347439,434.41
1.54201,642.2129227,416.47779372
1.7,721.0989,424.17582353
4.32679,1835.1671125,424.14055512
0.14078283,60.909691399,432.65
0.0,0.0,427.26405959
0.0,0.0,434.67223284
9.19249,3964.8798054,431.31728241
2.51579,1089.3461816,433.00362176
6.00859243,2501.2600865,416.28053752
1.73821,732.89569106,421.63817436
11.37093,4510.0290567,396.62798528
0.07617,30.407064,399.2
0.01966357,7.955880422,404.6
0.28152,116.5577256,414.03
1.94217988,796.74334397,410.23148894
0.22420645,92.531943979,412.70866195
17.11124,7153.76673,418.0741273
0.75778,315.6055051,416.48698184
2.52073,1041.0454267,412.99362752
0.0,0.0,414.74339054
8.03903,3333.2501788,414.63337975
0.78321,324.5933153,414.43969727
2.50399,1046.3139655,417.85868374
1.43359,594.6080159,414.76852929
0.0,0.0,409.33
2.07391,851.4902778,410.57243458
1.76459,722.4348878,409.40665412
1.43058,595.0211394,415.93
0.22128,92.283748,417.04513738
10.48587,4360.708648,415.8652213
4.17441,1726.7446965,413.65
0.04745,19.800385,417.28946259
0.0,0.0,416.91
1.21273,513.7675791,423.64547682
2.06158,872.5485098,423.24261479
0.0312,12.8856,413.0
1.5289,633.0396304,414.04907476
1.1228,466.483867,415.4647907
0.0,0.0,418.91133781
1.05077,440.5897764,419.30182285
14.76984,6202.9838912,419.97637694
3.94362,1666.0593726,422.46955148
15.81414,6674.1996456,422.04
0.0,0.0,421.54993983
0.39163,165.3226882,422.14
0.22178,92.6066346,417.5608017
0.49707,209.1631498,420.79214155
0.14684137,61.949319276,421.87919709
4.88553453,2078.7020967,425.48099578
0.97253,417.15034868,428.9331421
0.0,0.0,425.37
0.03,12.7845,426.15
0.60214,261.1279662,433.66653303
0.16526,71.7032432,433.88141837
0.12156013,52.725770386,433.7423001
54.01779225,23359.736107,432.44522098
34.30425,15010.621102,437.57321913
5.5968,2475.4033269,442.28904498
0.87147,388.9336995,446.29614272
0.34666,155.194392,447.68474009
1.17006,536.4370282,458.46967523
0.01,4.6182,461.82
5.38051,2519.8004432,468.32
0.66158,310.9427536,470.00023217
0.13636,60.454106,443.34193312
11.86752,5343.8237297,450.28984402
1.1174,508.424974,455.00713621
0.0,0.0,454.39081433
1.12341,513.52207553,457.1101161
0.06947,31.0516753,446.97963581
0.0,0.0,452.07
16.26805,7293.6495123,448.34196553
0.20233,91.45316,452.0
4.33851,1998.0814752,460.54555025
0.12631,58.4236905,462.54208297
0.82567,379.8285745,460.02467632
8.37807607,3868.1577215,461.7
0.4657,212.028553,455.29
