Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
375.01,375.01,375.0,375.0,0.235,88.1251,375.00042553
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
398.0,398.0,398.0,398.0,0.01,3.98,398.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
,,,,0.0,0.0,379.0
379.0,379.0,379.0,379.0,0.05,18.95,379.0
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
